pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-153 b,Kepler-153,1,2,Transit,2014,Kepler,18.870227,0.129,2.92,8.85,621.0,,5404.0,0.89,0.83,459.368,14.388,12.418,14.2493
Kepler-153 c,Kepler-153,1,2,Transit,2014,Kepler,46.90232,0.237,2.53,6.94,458.0,,5404.0,0.89,0.83,459.368,14.388,12.418,14.2493
Kepler-1530 b,Kepler-1530,1,3,Transit,2016,Kepler,2.5904434,0.0371,1.64,3.33,1484.0,,5477.0,0.88,0.92,489.876,14.15,12.3,14.0055
Kepler-1530 c,Kepler-1530,1,3,Transit,2016,Kepler,5.3227406,0.06,1.65,3.36,1167.0,,5477.0,0.88,0.92,489.876,14.15,12.3,14.0055
Kepler-1530 d,Kepler-1530,1,3,Transit,2021,Kepler,9.20761013,0.0865,3.279,10.8,972.0,,5678.0,1.3,1.02,489.876,14.15,12.3,14.0055
Kepler-1531 b,Kepler-1531,1,1,Transit,2016,Kepler,1.13854338,0.022,1.11,1.41,2537.0,,6260.0,1.27,1.16,666.334,13.202,11.772,13.1712
Kepler-1532 b,Kepler-1532,1,1,Transit,2016,Kepler,1.09366356,0.0206,1.35,2.39,1681.0,,5559.0,0.88,0.91,798.246,15.293,13.23,14.8028
Kepler-1533 b,Kepler-1533,1,1,Transit,2016,Kepler,308.5471,0.9625,3.46,11.8,330.0,,6431.0,1.51,1.31,966.801,13.289,11.926,13.1678
Kepler-1534 b,Kepler-1534,1,1,Transit,2016,Kepler,5.71668872,0.0599,1.89,4.23,955.0,,5442.0,0.86,0.9,1107.0,16.429,13.93,16.2352
Kepler-1535 b,Kepler-1535,1,1,Transit,2016,Kepler,138.9442,0.5329,2.55,7.04,384.0,,6021.0,1.11,1.08,897.733,14.385,12.744,14.1798
Kepler-1536 b,Kepler-1536,1,1,Transit,2016,Kepler,364.758031,0.8507,3.14,10.0,166.0,,4434.0,0.67,0.71,387.248,15.464,12.55,15.1407
Kepler-1537 b,Kepler-1537,1,1,Transit,2016,Kepler,1.4444538,0.0245,1.18,1.76,1800.0,,5079.0,0.77,0.81,517.292,14.827,12.519,14.5457
Kepler-1538 b,Kepler-1538,1,1,Transit,2016,Kepler,175.138819,0.6095,2.82,8.35,346.0,,5837.0,1.03,1.03,1125.3,15.551,13.751,15.2279
Kepler-1539 b,Kepler-1539,1,1,Transit,2016,Kepler,133.3036741,0.4765,2.7,7.75,301.0,,5176.0,0.8,0.84,748.326,15.487,13.382,15.3085
Kepler-154 b,Kepler-154,1,5,Transit,2014,Kepler,33.040532,0.198,2.26,5.73,561.0,,5690.0,1.0,0.98,915.212,14.646,12.986,14.5121
Kepler-154 c,Kepler-154,1,5,Transit,2014,Kepler,62.303276,0.303,2.95,9.01,454.0,,5690.0,1.0,0.98,915.212,14.646,12.986,14.5121
Kepler-154 d,Kepler-154,1,5,Transit,2016,Kepler,20.54981883,0.1415,3.84,14.1,657.0,,5769.0,0.98,0.98,915.212,14.646,12.986,14.5121
Kepler-154 e,Kepler-154,1,5,Transit,2016,Kepler,3.93276465,0.047,1.5,2.86,1140.0,,5769.0,0.98,0.98,915.212,14.646,12.986,14.5121
Kepler-154 f,Kepler-154,1,5,Transit,2016,Kepler,9.91935684,0.0871,1.5,2.86,838.0,,5769.0,0.98,0.98,915.212,14.646,12.986,14.5121
Kepler-1540 b,Kepler-1540,2,1,Transit,2016,Kepler,125.4131177,0.4426,2.49,6.76,266.0,,4540.0,0.69,0.74,244.96,14.429,11.519,14.0831
Kepler-1541 b,Kepler-1541,1,1,Transit,2016,Kepler,8.40691199,0.0781,1.16,1.65,1048.0,,5282.0,0.81,0.86,416.692,13.944,11.927,13.7908
Kepler-1542 b,Kepler-1542,1,4,Transit,2016,Kepler,3.95116882,0.0479,0.76,0.363,1160.0,,5564.0,0.99,0.94,399.114,12.734,10.989,12.5876
Kepler-1542 c,Kepler-1542,1,4,Transit,2016,Kepler,2.89223021,0.0389,0.65,0.208,1287.0,,5564.0,0.99,0.94,399.114,12.734,10.989,12.5876
Kepler-1542 d,Kepler-1542,1,4,Transit,2016,Kepler,5.99273738,0.0632,0.87,0.59,1010.0,,5564.0,0.99,0.94,399.114,12.734,10.989,12.5876
Kepler-1542 e,Kepler-1542,1,4,Transit,2016,Kepler,5.10115756,0.0567,0.76,0.363,1065.0,,5564.0,0.99,0.94,399.114,12.734,10.989,12.5876
Kepler-1543 b,Kepler-1543,1,1,Transit,2016,Kepler,6.96710269,0.0867,2.71,7.8,1774.0,,6561.0,1.65,1.39,921.784,13.495,12.291,13.4193
Kepler-1544 b,Kepler-1544,1,1,Transit,2016,Kepler,168.811174,0.5421,1.78,3.82,269.0,,4886.0,0.74,0.81,335.09,14.287,11.903,14.039
Kepler-1545 b,Kepler-1545,1,1,Transit,2016,Kepler,163.692349,0.5442,2.7,7.75,274.0,,5201.0,0.8,0.84,729.964,15.256,13.139,15.0334
Kepler-1546 b,Kepler-1546,1,1,Transit,2016,Kepler,19.5974971,0.1366,3.13,9.96,671.0,,5623.0,0.93,0.95,931.956,15.596,13.511,15.368
Kepler-1547 b,Kepler-1547,1,1,Transit,2016,Kepler,0.69297968,0.0165,0.9,0.666,3186.0,,6078.0,1.18,1.12,674.695,13.464,11.996,13.4085
Kepler-1548 b,Kepler-1548,1,1,Transit,2016,Kepler,124.828679,0.4679,2.64,7.46,350.0,,5706.0,0.97,0.99,872.279,15.324,13.7,15.2455
